mmsi,ts,time_bin,lat,lon,speed,course
412322224,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.300583,119.709082,5.0,165.7
412322247,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.326777,119.734587,8.3,297.9
412322255,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.364508,120.031202,8.9,287.6
412322482,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.253172,119.716665,4.1,341.8
412322601,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.047397,119.731038,3.7,87.8
412322667,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.30704,119.88862,3.3,302.5
412322707,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.011222,119.696478,3.6,86.2
412322826,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.473768,119.681662,6.8,127.8
412323013,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.303065,120.346168,2.3,280.5
412323096,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.046218,119.75579,4.3,144.8
412323107,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.070938,119.697332,4.4,222.5
412323193,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.058807,119.609952,4.4,270.8
412323195,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.042628,119.842825,3.9,91.5
412323323,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.310502,119.930837,8.4,271.7
412324336,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.874668,121.638577,3.7,273.8
412324378,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,36.516338,121.091538,10.2,331.2
412324401,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.364788,119.694722,6.1,295.5
412324487,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,36.331915,121.137142,2.2,238.0
412326270,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.273933,119.65325,0.1,216.8
412327009,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.45904,119.676073,8.5,279.1
412327032,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.443585,119.726442,7.4,267.9
412327147,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.334063,119.600347,2.6,162.4
412327174,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.58877,119.870018,7.4,318.1
412327451,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.439522,119.716212,6.9,272.5
412327544,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.425905,119.737577,1.0,276.3
412327657,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.403438,119.649613,2.4,280.9
412327754,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.380537,119.678065,3.7,280.3
412328036,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.474122,119.608457,0.0,90.0
412328139,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.284013,119.754828,7.4,269.8
412328357,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.098548,121.557877,3.1,129.3
412328507,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.069222,119.698905,4.1,227.4
412328830,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.575817,121.258718,0.0,17.8
412330082,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.329202,121.15022,1.7,244.9
412330205,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.45789,119.596747,7.6,93.6
412330223,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.442298,119.615707,7.8,288.7
412330241,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.45155,119.777522,7.4,270.1
412330262,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.44351,119.725573,7.7,269.0
